Date,Open,High,Low,Close,Adj Close
2000-04-14,1080,1080,1070,1070,735.970581
2000-04-17,1070,1070,1070,1070,735.970581
2000-04-18,1070,1070,1070,1070,735.970581
2000-04-19,1070,1070,1070,1070,735.970581
2000-04-20,1060,1060,1060,1060,729.092407
2000-04-21,1060,1060,1060,1060,729.092407
2000-04-24,1060,1060,1060,1060,729.092407
2000-04-25,1060,1060,1060,1060,729.092407
2000-04-26,1050,1050,1050,1050,722.214111
2000-04-27,1050,1050,1050,1050,722.214111
2000-04-28,1050,1050,1050,1050,722.214111
2000-05-01,1050,1050,1050,1050,722.214111
2000-05-02,1050,1050,1050,1050,722.214111
2000-05-03,1050,1050,1050,1050,722.214111
2000-05-04,1050,1050,1050,1050,722.214111
2000-05-05,1050,1050,1050,1050,722.214111
2000-05-08,1050,1050,1050,1050,722.214111
2000-05-09,1050,1050,1050,1050,722.214111
2000-05-10,1050,1050,1050,1050,722.214111
2000-05-11,1050,1050,1050,1050,722.214111
2000-05-12,1050,1050,1050,1050,722.214111
2000-05-15,1040,1040,1040,1040,715.335999
2000-05-16,1040,1040,1040,1040,715.335999
2000-05-17,1040,1040,1040,1040,715.335999
2000-05-18,1040,1040,1040,1040,715.335999
2000-05-19,1030,1050,1030,1050,722.214111
2000-05-22,1050,1050,1050,1050,722.214111
2000-05-23,1050,1050,1050,1050,722.214111
2000-05-24,1050,1050,1050,1050,722.214111
2000-05-25,1050,1050,1050,1050,722.214111
2000-05-26,1030,1030,1020,1020,701.57959
2000-05-29,1020,1020,1020,1020,701.57959
2000-05-30,1020,1020,1020,1020,701.57959
2000-05-31,1030,1030,1030,1030,708.457703
2000-06-01,1030,1030,1030,1030,708.457703
2000-06-02,1030,1030,1030,1030,708.457703
2000-06-05,1030,1030,1030,1030,708.457703
2000-06-06,1030,1030,1030,1030,708.457703
2000-06-07,1030,1030,1030,1030,708.457703
2000-06-08,1030,1030,1030,1030,708.457703
2000-06-09,1030,1030,1030,1030,708.457703
2000-06-12,1030,1030,1030,1030,708.457703
2000-06-13,1030,1030,1020,1020,701.57959
2000-06-14,1020,1020,1020,1020,701.57959
2000-06-15,1030,1030,1030,1030,708.457703
2000-06-16,1030,1030,1030,1030,708.457703
2000-06-19,1030,1030,1030,1030,708.457703
2000-06-20,1030,1030,1030,1030,708.457703
2000-06-21,1029,1030,1029,1030,708.457703
2000-06-22,1030,1030,1030,1030,708.457703
2000-06-23,1040,1040,1040,1040,715.335999
2000-06-26,1030,1030,1030,1030,708.457703
2000-06-27,1030,1030,1030,1030,708.457703
2000-06-28,1030,1030,1030,1030,708.457703
2000-06-29,1030,1030,1030,1030,708.457703
2000-06-30,1030,1030,1030,1030,708.457703
2000-07-03,1030,1030,1030,1030,708.457703
2000-07-04,1030,1030,1030,1030,708.457703
2000-07-05,1030,1030,1030,1030,708.457703
2000-07-06,1030,1030,1030,1030,708.457703
2000-07-07,1030,1030,1030,1030,708.457703
2000-07-10,1030,1030,1030,1030,708.457703
2000-07-11,1030,1030,1030,1030,708.457703
2000-07-12,1030,1030,1030,1030,708.457703
2000-07-13,1030,1030,1030,1030,708.457703
2000-07-14,1030,1030,1030,1030,708.457703
2000-07-17,1030,1030,1030,1030,708.457703
2000-07-18,1030,1030,1030,1030,708.457703
2000-07-19,1030,1030,1030,1030,708.457703
2000-07-20,1030,1030,1030,1030,708.457703
2000-07-21,1030,1030,1030,1030,708.457703
2000-07-24,1030,1030,1030,1030,708.457703
2000-07-25,1030,1030,1030,1030,708.457703
2000-07-26,1050,1050,1050,1050,722.214111
2000-07-27,1050,1050,1050,1050,722.214111
2000-07-28,1050,1050,1050,1050,722.214111
2000-07-31,1050,1050,1050,1050,722.214111
2000-08-01,1050,1050,1050,1050,722.214111
2000-08-02,1050,1050,1050,1050,722.214111
2000-08-03,1050,1050,1050,1050,722.214111
2000-08-04,1050,1050,1050,1050,722.214111
2000-08-07,1050,1050,1050,1050,722.214111
2000-08-08,1050,1050,1050,1050,722.214111
2000-08-09,1050,1050,1050,1050,722.214111
2000-08-10,1050,1050,1050,1050,722.214111
2000-08-11,1050,1050,1050,1050,722.214111
2000-08-14,1050,1050,1050,1050,722.214111
2000-08-15,1040,1040,1040,1040,715.335999
2000-08-16,1040,1040,1040,1040,715.335999
2000-08-17,1040,1040,1040,1040,715.335999
2000-08-18,1040,1040,1040,1040,715.335999
2000-08-21,1040,1040,1040,1040,715.335999
2000-08-22,1040,1040,1040,1040,715.335999
2000-08-23,1040,1040,1040,1040,715.335999
2000-08-24,1000,1000,1000,1000,687.822998
2000-08-25,1000,1000,1000,1000,687.822998
2000-08-28,1030,1030,1030,1030,708.457703
2000-08-29,1030,1030,1030,1030,708.457703
2000-08-30,1130,1130,980,980,674.066467
2000-08-31,980,980,980,980,674.066467
2000-09-01,1050,1050,1050,1050,722.214111
2000-09-04,1050,1050,1050,1050,722.214111
2000-09-05,1050,1050,1050,1050,722.214111
2000-09-06,1050,1050,1050,1050,722.214111
2000-09-07,1050,1050,1050,1050,722.214111
2000-09-08,1050,1050,1050,1050,722.214111
2000-09-11,1050,1050,1050,1050,722.214111
2000-09-12,1050,1050,1050,1050,722.214111
2000-09-13,1050,1050,1050,1050,722.214111
2000-09-14,1030,1030,1030,1030,708.457703
2000-09-15,1030,1030,1030,1030,708.457703
2000-09-18,1030,1030,1030,1030,708.457703
2000-09-19,1030,1030,1030,1030,708.457703
2000-09-20,1030,1030,1030,1030,708.457703
2000-09-21,1030,1030,1030,1030,708.457703
2000-09-22,1030,1050,1030,1050,722.214111
2000-09-25,1050,1050,1030,1030,708.457703
2000-09-26,1030,1030,1030,1030,708.457703
2000-09-27,1030,1030,1030,1030,708.457703
2000-09-28,1030,1030,1030,1030,708.457703
2000-09-29,1030,1030,1030,1030,708.457703
2000-10-02,1030,1030,1030,1030,708.457703
2000-10-03,1030,1030,1030,1030,708.457703
2000-10-04,1030,1030,1030,1030,708.457703
2000-10-05,1030,1030,1030,1030,708.457703
2000-10-06,1030,1030,1030,1030,708.457703
2000-10-09,1030,1030,1030,1030,708.457703
2000-10-10,1030,1030,1030,1030,708.457703
2000-10-11,1030,1030,1030,1030,708.457703
2000-10-12,1030,1030,1030,1030,708.457703
2000-10-13,1010,1010,1010,1010,694.701233
2000-10-16,1010,1010,1010,1010,694.701233
2000-10-17,1010,1010,1010,1010,694.701233
2000-10-18,1010,1010,1010,1010,694.701233
2000-10-19,1010,1010,1010,1010,694.701233
2000-10-20,1010,1010,1010,1010,694.701233
2000-10-23,1010,1010,1010,1010,694.701233
2000-10-24,1010,1010,1010,1010,694.701233
2000-10-25,1010,1010,1010,1010,694.701233
2000-10-26,1010,1010,1010,1010,694.701233
2000-10-27,1010,1010,1010,1010,694.701233
2000-10-30,1010,1010,1010,1010,694.701233
2000-10-31,1010,1010,1010,1010,694.701233
2000-11-01,1010,1010,1010,1010,694.701233
2000-11-02,1010,1010,1010,1010,694.701233
2000-11-03,1010,1010,1010,1010,694.701233
2000-11-06,1010,1010,1010,1010,694.701233
2000-11-07,1010,1010,1010,1010,694.701233
2000-11-08,1010,1010,1010,1010,694.701233
2000-11-09,1010,1010,1010,1010,694.701233
2000-11-10,1010,1010,1010,1010,694.701233
2000-11-13,1010,1010,1010,1010,694.701233
2000-11-14,1010,1010,1010,1010,694.701233
2000-11-15,1030,1030,1030,1030,708.457703
2000-11-16,1030,1030,1030,1030,708.457703
2000-11-17,1030,1030,1030,1030,708.457703
2000-11-20,1030,1030,1030,1030,708.457703
2000-11-21,1030,1030,1030,1030,708.457703
2000-11-22,1030,1030,1030,1030,708.457703
2000-11-23,1030,1030,1030,1030,708.457703
2000-11-24,1030,1030,1030,1030,708.457703
2000-11-27,1030,1030,1030,1030,708.457703
2000-11-28,1030,1030,1030,1030,708.457703
2000-11-29,1030,1030,1030,1030,708.457703
2000-11-30,1030,1030,1030,1030,708.457703
2000-12-01,1030,1030,1030,1030,708.457703
2000-12-04,1030,1030,1030,1030,708.457703
2000-12-05,1030,1030,1030,1030,708.457703
2000-12-06,1030,1030,1030,1030,708.457703
2000-12-07,1030,1030,1030,1030,708.457703
2000-12-08,1030,1030,1030,1030,708.457703
2000-12-11,1030,1030,1030,1030,708.457703
2000-12-12,1020,1040,1020,1040,715.335999
2000-12-13,1040,1040,1040,1040,715.335999
2000-12-14,1040,1040,1040,1040,715.335999
2000-12-15,1040,1040,1040,1040,715.335999
2000-12-18,1040,1040,940,940,646.553589
2000-12-19,940,940,940,940,646.553589
2000-12-20,980,980,980,980,674.066467
2000-12-21,980,980,980,980,674.066467
2000-12-22,980,980,980,980,674.066467
2000-12-25,980,980,980,980,674.066467
2000-12-26,1030,1030,1030,1030,708.457703
